Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.010321,0.00065104,0.5185,0,0,0,35.545,1.3259,-1.6443E-06,-0.00012106,1.3119,-1.547E-06,0.026428,0,0,0,0,0,0,package://RobotBimanualV3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/base_link.STL,,Body_assem-1/Body_right-1;Body_assem-1/Body_left-2;Base_lower_left-1;Body_assem-1/Body_left_lower-1;Body_assem-1/Body_right_lower-1;Profile_assem_V3-1/Profile_40x80_2_MAIN-3;Profile_assem_V3-1/Profile_40x80_2_MAIN-2;Base_upper-2;Camera_support_1-1;Base_upper-1;Profile_assem_V3-1/Profile_40x40_230_MAIN-1;Connection_4080_2-1;Base_lower_right-1;C-E6800ZZ-10;Motor_AK70-10-2;Motor_AK70-10-1;C-E6800ZZ-11;Camera_support_2-1;D455_Solid_main-1;Body_assem-1/Body_supporter-1;Connection_4080-1,global_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00277367,6.161E-05,0.05165334,0,0,0,0.706,0.00074611,5.4E-07,5.3E-07,0.00054009,3.26E-06,0.00050643,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link1.STL,,Motor2_upper_left-1;Motor2_lower-1;Motor_AK70-10-3,link1_frame,Axis_joint1,joint1,revolute,0.02,0.1037,0.8358,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,-0.00124394,-5.732E-05,0.0545228,0,0,0,0.659,0.00064807,8.3E-07,-4.6E-07,0.00045162,-1.01E-06,0.00043422,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link2.STL,,Motor23-1;Motor_AK70-10-5,link2_frame,Axis_joint2,joint2,revolute,-0.020519,0.0080718,0.0528,-1.5708,0,1.5708,link1,0,0,1,0,0,0,0,,,,,,,,
link3,-0.03505493,-0.006151,0.05438578,0,0,0,1.095,0.00161847,0.00042205,-0.00104433,0.0066165,-0.0001917,0.00653551,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link3.STL,,Motor34-1;Motor_AK70-10-8;Motor45_1_left-1;Motor45_2_left-1;Linkage_upper_70_1-1;Linkage_upper_2-1;C-E6800ZZ-1;C-E6800ZZ-2;upperArm_1_left-1;upperArm_2_left-1;C-E6803ZZ-1;C-E6803ZZ-3;C-E6803ZZ-4,link3_frame,Axis_joint3,joint3,revolute,0.014928,0,0.058031,-1.5708,0,-1.5708,link2,0,0,1,0,0,0,0,,,,,,,,
link4,-0.00914828,-0.00042727,-7.12E-06,0,0,0,0.268,9.136E-05,7E-08,-2E-08,0.00013894,0,0.00013031,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link4.STL,,Linkage_lower_1-1;Linkage_lower_2-1;C-E6800ZZ-4;C-E6800ZZ-3;Motor5_2_left-1;Motor5_1_left-1;Motor_RMD_X4_V2-1,link4_frame,Axis_joint4,joint4,revolute,-0.25,0,0.08318,0,0,1.5708,link3,0,0,1,0,0,0,0,,,,,,,,
link5,-0.00077608,-1.282E-05,0.20828624,0,0,0,0.312,0.00224953,-6E-08,-1.814E-05,0.00223143,-5.8E-07,7.461E-05,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link5.STL,,ForeArm_1-2;ForeArm_bone-2;ForeArm_2-2;ForeArm_3-2;Wrist-2;Motor_RMD_X4_V2-4,link5_frame,Axis_joint5,joint5,revolute,0.014,0,0,-1.5708,0,-1.5708,link4,0,0,1,0,0,0,0,,,,,,,,
link6,0,0.03647863,-0.00513212,0,0,0,0.069,5.058E-05,0,0,2.639E-05,-9.98E-06,6.138E-05,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link6.STL,0.82353,0.82353,0.82353,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link6.STL,,Gripper-2,link6_frame,Axis_joint6,joint6,revolute,0.01415,0,0.2633,1.5708,0,1.5708,link5,0,0,1,0,0,0,0,,,,,,,,
link7,0.00239406,-0.00016204,0.05155291,0,0,0,0.706,0.00074592,-2.03E-06,-1.52E-06,0.00053798,-3.35E-06,0.00050821,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link7.STL,,Motor2_upper_right-1;Motor_AK70-10-4;Motor2_lower-2,link7_frame,Axis_joint7,joint7,revolute,0.02,-0.1037,0.8358,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link8,-0.00124394,7.606E-05,0.05454155,0,0,0,0.659,0.00064811,-1.1E-06,-7.3E-07,0.0004522,1.03E-06,0.00043369,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link8.STL,,Motor23-2;Motor_AK70-10-6,link8_frame,Axis_joint8,joint8,revolute,-0.02205,0,0.0528,1.5708,0,-1.5708,link7,0,0,1,0,0,0,0,,,,,,,,
link9,-0.03505563,0.00468094,0.05453087,0,0,0,1.095,0.00161845,-0.00039365,-0.00105521,0.00662637,0.00018923,0.00652496,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link9.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBimanualV3/meshes/link9.STL,,Motor34-2;Motor_AK70-10-7;motor45_1_right-1;motor45_2_right-1;Linkage_upper_70_1-2;Linkage_upper_2-2;C-E6800ZZ-8;C-E6800ZZ-7;upperArm_1_right-1;upperArm_2_right-1;C-E6803ZZ-5;C-E6803ZZ-6;C-E6803ZZ-7,link9_frame,Axis_joint9,joint9,revolute,0.023,0,0.0565,1.5708,0,1.5708,link8,0,0,1,0,0,0,0,,,,,,,,
